Time,Vessel East,Vessel North,Vessel Latitude,Vessel Longitude,Vessel Height,Vessel Gyro,ROV East,ROV North,ROV Latitude,ROV Longitude,ROV Height,ROV Gyro
12:26:21.386,  545267.6129,7038513.4132, 63.472112, 9.908412, 40.3442,  174.1300,  545240.4270,7038524.6007, 63.472216, 9.907870, -77.5850,  250.7100
12:26:22.388,  545267.6136,7038513.4163, 63.472112, 9.908413, 40.3342,  174.0900,  545240.6457,7038524.2767, 63.472213, 9.907874, -77.9960,  235.3600
12:26:23.388,  545267.6167,7038513.4191, 63.472112, 9.908413, 40.3242,  174.0600,  545241.0330,7038524.1850, 63.472212, 9.907882, -78.4230,  220.0400
12:26:24.388,  545267.6202,7038513.4216, 63.472112, 9.908413, 40.3242,  174.0400,  545241.3734,7038524.0929, 63.472211, 9.907889, -78.6370,  204.3800
12:26:25.388,  545267.6234,7038513.4236, 63.472112, 9.908413, 40.3042,  174.0400,  545241.8313,7038524.2387, 63.472213, 9.907898, -79.0070,  188.7600
12:26:26.389,  545267.6277,7038513.4250, 63.472112, 9.908413, 40.3042,  174.0700,  545242.2483,7038524.5550, 63.472215, 9.907907, -79.3850,  173.4600
12:26:27.389,  545267.6346,7038513.4257, 63.472112, 9.908413, 40.2942,  174.0900,  545242.4457,7038524.8039, 63.472218, 9.907911, -79.7110,  158.2500
12:26:28.391,  545267.6436,7038513.4264, 63.472112, 9.908413, 40.3042,  174.0900,  545242.6121,7038525.1426, 63.472221, 9.907914, -80.0270,  143.0100
12:26:29.391,  545267.6526,7038513.4272, 63.472112, 9.908413, 40.3042,  174.1200,  545242.7876,7038525.6541, 63.472225, 9.907918, -80.3580,  128.1400
12:26:30.391,  545267.6586,7038513.4276, 63.472112, 9.908413, 40.3142,  174.1600,  545242.5914,7038525.8829, 63.472227, 9.907914, -80.6640,  113.2000
12:26:31.391,  545267.6614,7038513.4276, 63.472112, 9.908413, 40.3242,  174.2000,  545242.4729,7038526.2672, 63.472231, 9.907912, -81.0610,   98.4000
12:26:32.394,  545267.6626,7038513.4273, 63.472112, 9.908413, 40.3142,  174.2500,  545242.2729,7038526.5718, 63.472233, 9.907908, -81.4440,   83.6800
12:26:33.393,  545267.6638,7038513.4271, 63.472112, 9.908414, 40.3242,  174.2600,  545242.0367,7038526.9777, 63.472237, 9.907903, -81.6510,   69.0300
12:26:34.393,  545267.6646,7038513.4269, 63.472112, 9.908414, 40.3242,  174.2700,  545241.5217,7038526.9689, 63.472237, 9.907893, -82.1370,   54.3600
12:26:35.395,  545267.6630,7038513.4261, 63.472112, 9.908413, 40.3342,  174.2600,  545241.3315,7038527.0612, 63.472238, 9.907889, -82.7590,   39.5900
12:26:36.395,  545267.6575,7038513.4250, 63.472112, 9.908413, 40.3442,  174.2700,  545240.9385,7038527.2659, 63.472240, 9.907881, -82.9860,   24.8500
12:26:37.396,  545267.6500,7038513.4237, 63.472112, 9.908413, 40.3342,  174.2700,  545240.5583,7038527.2858, 63.472240, 9.907874, -83.2620,   10.1400
12:26:38.397,  545267.6427,7038513.4219, 63.472112, 9.908413, 40.3342,  174.2600,  545239.8510,7038526.9490, 63.472237, 9.907859, -83.5350,  355.6200
12:26:39.397,  545267.6369,7038513.4194, 63.472112, 9.908413, 40.3242,  174.2500,  545239.7918,7038526.4816, 63.472233, 9.907858, -83.9950,  341.0200
12:26:40.398,  545267.6323,7038513.4167, 63.472112, 9.908413, 40.3142,  174.2400,  545239.4235,7038526.1170, 63.472230, 9.907850, -84.3260,  327.5600
12:26:41.399,  545267.6274,7038513.4140, 63.472112, 9.908413, 40.3142,  174.2300,  545239.4200,7038526.0085, 63.472229, 9.907850, -84.7310,  317.6600
12:26:42.400,  545267.6218,7038513.4113, 63.472112, 9.908413, 40.3042,  174.2200,  545239.3714,7038525.8146, 63.472227, 9.907849, -85.1600,  312.5800
12:26:43.401,  545267.6171,7038513.4084, 63.472112, 9.908413, 40.2942,  174.2000,  545239.4470,7038525.6613, 63.472226, 9.907851, -85.5110,  309.8200
12:26:44.402,  545267.6151,7038513.4052, 63.472112, 9.908413, 40.2942,  174.1800,  545239.3022,7038525.6631, 63.472226, 9.907848, -85.8320,  308.3600
12:26:45.403,  545267.6164,7038513.4024, 63.472112, 9.908413, 40.2942,  174.1300,  545239.5058,7038525.6949, 63.472226, 9.907852, -86.2470,  306.5700
12:26:46.403,  545267.6193,7038513.4000, 63.472112, 9.908413, 40.2942,  174.1100,  545239.2087,7038525.5450, 63.472225, 9.907846, -86.5550,  302.1100
12:26:47.404,  545267.6222,7038513.3980, 63.472112, 9.908413, 40.3042,  174.1200,  545239.4478,7038525.3451, 63.472223, 9.907851, -86.9610,  294.9400
